Force,E,v,Start,Displacement
100.000000,1600.000000,0.400000,0.122093,0.160489
100.000000,1600.000000,0.410000,0.129721,0.169726
100.000000,1600.000000,0.420000,0.138271,0.180203
100.000000,1600.000000,0.430000,0.147968,0.192240
100.000000,1600.000000,0.440000,0.159140,0.206302
100.000000,1600.000000,0.450000,0.172304,0.223105
100.000000,1600.000000,0.460000,0.188340,0.243834
100.000000,1600.000000,0.470000,0.208941,0.270652
100.000000,1600.000000,0.480000,0.238058,0.308224
100.000000,1600.000000,0.490000,0.289064,0.370275
100.000000,1700.000000,0.000000,0.109318,0.130981
100.000000,1700.000000,0.010000,0.108529,0.130387
100.000000,1700.000000,0.020000,0.107817,0.129868
100.000000,1700.000000,0.030000,0.107181,0.129425
100.000000,1700.000000,0.040000,0.106625,0.129062
100.000000,1700.000000,0.050000,0.106149,0.128778
100.000000,1700.000000,0.060000,0.105756,0.128578
100.000000,1700.000000,0.070000,0.105447,0.128461
100.000000,1700.000000,0.080000,0.105224,0.128432
100.000000,1700.000000,0.090000,0.105090,0.128491
100.000000,1700.000000,0.100000,0.105047,0.128642
100.000000,1700.000000,0.110000,0.105098,0.128888
100.000000,1700.000000,0.120000,0.105244,0.129231
100.000000,1700.000000,0.130000,0.105490,0.129676
100.000000,1700.000000,0.140000,0.105838,0.130224
100.000000,1700.000000,0.150000,0.106291,0.130881
100.000000,1700.000000,0.160000,0.106853,0.131651
100.000000,1700.000000,0.170000,0.107529,0.132537
100.000000,1700.000000,0.180000,0.108322,0.133546
100.000000,1700.000000,0.190000,0.109237,0.134681
100.000000,1700.000000,0.200000,0.110279,0.135951
100.000000,1700.000000,0.210000,0.111453,0.137360
100.000000,1700.000000,0.220000,0.112766,0.138917
100.000000,1700.000000,0.230000,0.114224,0.140628
100.000000,1700.000000,0.240000,0.115834,0.142504
100.000000,1700.000000,0.250000,0.117605,0.144554
100.000000,1700.000000,0.260000,0.119544,0.146789
100.000000,1700.000000,0.270000,0.121662,0.149221
100.000000,1700.000000,0.280000,0.123971,0.151865
100.000000,1700.000000,0.290000,0.126481,0.154737
100.000000,1700.000000,0.300000,0.129208,0.157855
100.000000,1700.000000,0.310000,0.132168,0.161241
100.000000,1700.000000,0.320000,0.135379,0.164918
100.000000,1700.000000,0.330000,0.138861,0.168916
100.000000,1700.000000,0.340000,0.142641,0.173269
100.000000,1700.000000,0.350000,0.146748,0.178018
100.000000,1700.000000,0.360000,0.151216,0.183210
100.000000,1700.000000,0.370000,0.156090,0.188907
100.000000,1700.000000,0.380000,0.161420,0.195183
100.000000,1700.000000,0.390000,0.167274,0.202131
100.000000,1700.000000,0.400000,0.173735,0.209872
100.000000,1700.000000,0.410000,0.180914,0.218566
100.000000,1700.000000,0.420000,0.188961,0.228427
100.000000,1700.000000,0.430000,0.198088,0.239755
100.000000,1700.000000,0.440000,0.208603,0.252990
100.000000,1700.000000,0.450000,0.220992,0.268805
100.000000,1700.000000,0.460000,0.236085,0.288314
100.000000,1700.000000,0.470000,0.255474,0.313555
100.000000,1700.000000,0.480000,0.282879,0.348917
100.000000,1700.000000,0.490000,0.330883,0.407318
100.000000,1800.000000,0.000000,0.158800,0.179260
100.000000,1800.000000,0.010000,0.158055,0.178699
100.000000,1800.000000,0.020000,0.157382,0.178208
100.000000,1800.000000,0.030000,0.156782,0.177791
100.000000,1800.000000,0.040000,0.156257,0.177447
100.000000,1800.000000,0.050000,0.155808,0.177180
100.000000,1800.000000,0.060000,0.155436,0.176990
100.000000,1800.000000,0.070000,0.155144,0.176880
100.000000,1800.000000,0.080000,0.154934,0.176852
100.000000,1800.000000,0.090000,0.154808,0.176908
100.000000,1800.000000,0.100000,0.154767,0.177051
100.000000,1800.000000,0.110000,0.154814,0.177283
100.000000,1800.000000,0.120000,0.154953,0.177607
100.000000,1800.000000,0.130000,0.155185,0.178027
100.000000,1800.000000,0.140000,0.155513,0.178545
100.000000,1800.000000,0.150000,0.155941,0.179166
100.000000,1800.000000,0.160000,0.156473,0.179892
100.000000,1800.000000,0.170000,0.157111,0.180729
100.000000,1800.000000,0.180000,0.157860,0.181682
100.000000,1800.000000,0.190000,0.158724,0.182755
100.000000,1800.000000,0.200000,0.159708,0.183954
100.000000,1800.000000,0.210000,0.160817,0.185285
100.000000,1800.000000,0.220000,0.162057,0.186755
100.000000,1800.000000,0.230000,0.163434,0.188371
100.000000,1800.000000,0.240000,0.164954,0.190143
100.000000,1800.000000,0.250000,0.166627,0.192079
100.000000,1800.000000,0.260000,0.168458,0.194189
100.000000,1800.000000,0.270000,0.170459,0.196487
100.000000,1800.000000,0.280000,0.172639,0.198984
100.000000,1800.000000,0.290000,0.175010,0.201696
100.000000,1800.000000,0.300000,0.177586,0.204641
100.000000,1800.000000,0.310000,0.180381,0.207839
100.000000,1800.000000,0.320000,0.183413,0.211312
100.000000,1800.000000,0.330000,0.186702,0.215088
100.000000,1800.000000,0.340000,0.190272,0.219199
100.000000,1800.000000,0.350000,0.194151,0.223683
100.000000,1800.000000,0.360000,0.198371,0.228587
